Date,"non-OPEC Production change (million barrels per day change, year on year)",WTI Real Price (GDP Deflated),Price Delta,Classifier
2001-01-01,0.72,34.91,-1.24,0
2001-04-01,0.48,33.67,-1.57,0
2001-07-01,0.59,32.1,-7.58,0
2001-10-01,0.64,24.52,1.34,1
2002-01-01,0.8,25.86,5.41,1
2002-04-01,1.56,31.27,2.26,1
2002-07-01,0.74,33.53,-0.23,0
2002-10-01,0.74,33.3,6.59,1
2003-01-01,1.14,39.89,-6.05,0
2003-04-01,0.29,33.84,1.25,1
2003-07-01,1.28,35.09,0.91,1
2003-10-01,1.62,36,4.49,1
2004-01-01,1.19,40.49,3.07,1
2004-04-01,1.72,43.56,5.97,1
2004-07-01,0.87,49.53,4.44,1
2004-10-01,0.49,53.97,1.55,1
2005-01-01,0.14,55.52,3.14,1
2005-04-01,0.55,58.66,10.62,1
2005-07-01,-0.34,69.28,-4.16,0
2005-10-01,-0.75,65.12,3.12,1
2006-01-01,-0.16,68.24,7.05,1
2006-04-01,-0.44,75.29,-0.46,0
2006-07-01,1.2,74.83,-11.5,0
2006-10-01,1.04,63.33,-2.57,0
2007-01-01,0.58,60.76,6.79,1
2007-04-01,0.59,67.55,10.33,1
2007-07-01,-0.18,77.88,15.45,1
2007-10-01,0.12,93.33,7.06,1
2008-01-01,0.02,100.39,26.13,1
2008-04-01,-0.06,126.52,-6.53,0
2008-07-01,-0.15,119.99,-60.57,0
2008-10-01,-0.05,59.42,-15.75,0
2009-01-01,0.28,43.67,16.75,1
2009-04-01,0.58,60.42,8.54,1
2009-07-01,1.38,68.96,7.75,1
2009-10-01,1.38,76.71,2.63,1
2010-01-01,1.64,79.34,-1.36,0
2010-04-01,1.89,77.98,-2.03,0
2010-07-01,1.66,75.95,8.66,1
2010-10-01,1.74,84.61,8.32,1
2011-01-01,0.97,92.93,7.14,1
2011-04-01,0.25,100.07,-12.75,0
2011-07-01,0.26,87.32,4.36,1
2011-10-01,0.29,91.68,8.03,1
2012-01-01,0.86,99.71,-9.72,0
2012-04-01,0.68,89.99,-1.63,0
2012-07-01,0.52,88.36,-4.34,0
2012-10-01,1.17,84.02,5.68,1
2013-01-01,0.62,89.7,-0.53,0
2013-04-01,1.56,89.17,10.63,1
2013-07-01,2.37,99.8,-8.37,0
2013-10-01,1.96,91.43,0.73,1
2014-01-01,2.33,92.16,3.81,1
2014-04-01,2.62,95.97,-5.5,0
2014-07-01,2.38,90.47,-22.84,0
2014-10-01,2.77,67.63,-22.84,0
2015-01-01,2.42,44.79,8.36,1
2015-04-01,1.58,53.15,-10.49,0
2015-07-01,1.4,42.66,-4.23,0
2015-10-01,0.43,38.43,-7.85,0
2016-01-01,-0.08,30.58,10.83,1
2016-04-01,-0.92,41.41,-0.68,0
2016-07-01,-1.13,40.73,3.69,1
2016-10-01,-0.54,44.42,1.98,1
2017-01-01,-0.03,46.4,-3.31,0
2017-04-01,0.9,43.09,-0.19,0
2017-07-01,1.01,42.9,6.01,1
2017-10-01,0.98,48.91,6.43,1
2018-01-01,1.76,55.34,4.08,1
2018-04-01,2.56,59.42,1.15,1
2018-07-01,3.48,60.57,-9.03,0
2018-10-01,3.51,51.54,-4.26,0
2019-01-01,2.36,47.28,4.07,1
2019-04-01,2.07,51.35,-3.19,0
2019-07-01,1.51,48.16,0.25,1
2019-10-01,1.81,48.41,-9.96,0
2020-01-01,2.42,38.45,-14.65,0
2020-04-01,-3.91,23.8,10.7,1
2020-07-01,-3.91,34.5,1.16,1
2020-10-01,-4.64,35.66,12.57,1
2021-01-01,-4.65,48.23,5.92,1
2021-04-01,2.54,54.15,2.78,1
2021-07-01,2.31,56.93,4.31,1
2021-10-01,2.83,61.24,13.36,1
2022-01-01,3.01,74.6,4.4,1
2022-04-01,1.68,79,-2.98,0
2022-07-01,2.02,76.02,-2.78,0
2022-10-01,1.37,73.24,-2.5,0
2023-01-01,1.4,70.74,-2.97,0
2023-04-01,1.99,67.77,-2.67,0
2023-07-01,1.38,65.1,-2.64,0
2023-10-01,1.06,62.46,-62.46,0
