Month,WTI Price,Saudi D,Iraq D,Iran D,UAE D,Kuwait D,Big5 D,Total D,WTI Price D
2021-10-01,71.46045455,-0.1,-0.05,0,-0.02,-0.035,-0.205,0.02134,-9.86240259
2021-09-01,67.72727273,-0.15,-0.075,0,-0.04,-0.03,-0.295,0.016341,-3.73318182
2021-08-01,72.58181818,-0.1,-0.05,0,-0.02,-0.02,-0.19,0.02134,4.85454545
2021-07-01,71.37772727,-0.1,-0.075,0.05,-0.05,-0.03,-0.205,0.02134,-1.20409091
2021-06-01,65.2347619,-0.503,-0.05,0,-0.03,-0.037,-0.62,0.006341,-6.14296537
2021-05-01,61.69545455,-0.465,0.05,-0.05,-0.05,-0.023,-0.538,-0.00866,-3.53930735
2021-04-01,62.35,-0.332,0,0,-0.03,-0.03,-0.392,0.00134,0.65454545
2021-03-01,59.081,0,0,-0.15,0,0,-0.15,-0.11266,-3.269
2021-02-01,51.94,0.05,-0.05,-0.1,0,0,-0.1,0.021341,-7.141
2021-01-01,47.09391304,0.9,-0.09,-0.15,0,0,0.66,0.001395,-4.84608696
2020-12-01,41.51619048,-0.09,0,-0.05,-0.03,-0.03,-0.2,-0.174913,-5.57772256
2020-11-01,39.52954545,0,-0.04,-0.05,-0.07,0,-0.16,-0.064856,-1.98664503
2020-10-01,39.60954545,0,0.03,-0.05,-0.09,-0.01,-0.12,-0.065056,0.08
2020-09-01,42.36428571,0,-0.14,0,0.08,0,-0.06,-0.974657,2.75474026
2020-08-01,40.75,-0.11,-0.02,0,0.2,0,0.07,0.815142,-1.61428571
2020-07-01,38.30227273,-0.5,0.01,0,-0.25,-0.13,-0.87,-0.034855,-2.44772727
2020-06-01,28.7947619,-0.7,0.05,0.05,-0.1,-0.07,-0.77,-0.622228,-9.50751083
2020-05-01,16.80727273,0.85,0.47,0.025,0.15,0.11,1.605,0.36,-11.98748917
2020-04-01,29.87727273,3.05,0.28,0,1.3,0.8,5.43,-0.755,13.07
2020-03-01,50.6015,-1.8,0,0.025,-0.3,-0.1,-2.175,0.04,20.72422727
2020-02-01,57.71478261,-0.05,0.15,0.05,-0.3,-0.19,-0.34,-0.115,7.11328261
2020-01-01,59.85772727,0.1,-0.1,-0.05,0,0,-0.05,-0.37,2.14294466
2019-12-01,57.11047619,-0.1,0,0,-0.05,0,-0.15,-0.27,-2.74725108
2019-11-01,53.97913043,0.15,0.1,0,0.1,-0.01,0.34,-0.4,-3.13134576
2019-10-01,56.85714286,-0.05,0.1,0.1,-0.05,0,0.1,0.015,2.87801243
2019-09-01,54.83909091,-1.35,-0.1,0,-0.05,0,-1.5,-0.705,-2.01805195
2019-08-01,57.50869565,1.35,0.1,0,0,0,1.45,-0.553,2.66960474
2019-07-01,54.677,-0.1,-0.05,0,-0.05,0,-0.2,-0.467,-2.83169565
2019-06-01,60.73347826,0.25,0,0.1,0.05,0.02,0.42,0.03,6.05647826
2019-05-01,63.87590909,-0.1,0,0.1,-0.05,0,-0.05,-0.15,3.14243083
2019-04-01,58.15380952,-0.05,0,0.2,0,0,0.15,0.44,-5.72209957
2019-03-01,54.986,0,-0.08,0.1,0,0,0.02,-0.06,-3.16780952
2019-02-01,51.3573913,0.25,0.16,0.05,0.05,0.03,0.54,-0.185,-3.6286087
2019-01-01,48.6352381,-0.05,0.07,0,-0.05,0,-0.03,-0.75,-2.7221532
2018-12-01,56.56772727,0.45,-0.05,-0.05,0.08,0.05,0.48,-0.345,7.93248917
2018-11-01,70.75130435,0.5,-0.03,0.1,-0.04,0,0.53,-0.035,14.18357708
2018-10-01,70.1855,-0.28,-0.04,0.7,-0.14,0,0.24,-0.965,-0.56580435
2018-09-01,67.98869565,-0.2,-0.03,0,-0.05,0,-0.28,-0.625,-2.19680435
2018-08-01,70.99136364,-0.1,-0.025,0.12,0,0,-0.005,1.96,3.00266799
