Date, Price ($/Barrel)(WTI) , Price ($/Barrel)(Brent) , Price ($/Barrel)(Dubai) 
1990-01-01,22.96,21.25,17.57
1990-02-01,22.12,19.93,17.00
1990-03-01,20.41,18.37,15.59
1990-04-01,18.43,16.49,14.05
1990-05-01,18.25,16.34,14.03
1990-06-01,16.69,15.05,13.05
1990-07-01,18.42,17.14,14.88
1990-08-01,27.23,27.32,25.06
1990-09-01,33.80,35.03,32.03
1990-10-01,36.13,36.09,32.34
1990-11-01,32.44,33.20,28.98
1990-12-01,27.33,28.32,24.18
1991-01-01,25.20,23.54,19.68
1991-02-01,20.50,19.58,15.51
1991-03-01,19.87,19.13,15.65
1991-04-01,20.77,19.13,15.55
1991-05-01,21.24,19.16,15.77
1991-06-01,20.21,18.08,15.03
1991-07-01,21.52,19.42,16.13
1991-08-01,21.70,19.73,16.47
1991-09-01,21.86,20.48,17.50
1991-10-01,23.30,22.25,19.12
1991-11-01,22.46,21.00,17.76
1991-12-01,19.51,18.28,15.11
1992-01-01,18.76,18.55,15.25
1992-02-01,18.99,18.48,15.46
1992-03-01,18.92,17.59,15.56
1992-04-01,20.23,19.06,16.67
1992-05-01,20.97,20.03,17.57
1992-06-01,22.37,21.28,18.98
1992-07-01,21.77,20.34,18.44
1992-08-01,21.31,19.77,17.78
1992-09-01,21.90,20.31,18.36
1992-10-01,21.69,20.26,18.16
1992-11-01,20.33,19.15,17.21
1992-12-01,19.42,18.15,16.22
1993-01-01,19.06,17.35,15.30
1993-02-01,20.04,18.48,16.16
1993-03-01,20.32,18.75,16.44
1993-04-01,20.26,18.63,16.43
1993-05-01,19.94,18.51,16.07
1993-06-01,19.11,17.59,15.40
1993-07-01,17.86,16.76,14.49
1993-08-01,18.01,16.71,14.57
1993-09-01,17.51,15.99,13.90
1993-10-01,18.16,16.56,14.59
1993-11-01,16.68,15.08,13.49
1993-12-01,14.51,13.56,12.03
1994-01-01,15.01,14.22,13.27
1994-02-01,14.77,13.75,12.73
1994-03-01,14.65,13.88,12.53
1994-04-01,16.40,15.15,13.90
1994-05-01,17.88,16.26,15.15
1994-06-01,19.07,16.74,15.88
1994-07-01,19.65,17.63,16.84
1994-08-01,18.38,16.82,15.73
1994-09-01,17.45,15.85,15.08
1994-10-01,17.70,16.43,15.30
1994-11-01,18.07,17.30,16.23
1994-12-01,17.17,15.88,15.34
1995-01-01,18.02,16.55,16.08
1995-02-01,18.55,17.14,16.64
1995-03-01,18.55,17.02,16.49
1995-04-01,19.91,18.74,17.65
1995-05-01,19.73,18.32,17.24
1995-06-01,18.42,17.35,16.24
1995-07-01,17.30,15.86,15.02
1995-08-01,18.01,16.07,15.38
1995-09-01,18.22,16.66,15.43
1995-10-01,17.43,16.12,14.99
1995-11-01,18.01,16.88,15.56
1995-12-01,19.03,17.96,16.81
1996-01-01,18.87,17.94,16.55
1996-02-01,19.09,17.97,15.99
1996-03-01,21.31,19.99,17.09
1996-04-01,23.56,21.01,17.77
1996-05-01,21.21,19.15,16.99
1996-06-01,20.42,18.27,17.00
1996-07-01,21.29,19.61,17.79
1996-08-01,21.94,19.96,18.68
1996-09-01,24.01,22.06,20.35
