Date, Price - D ,Wheat - D,Copper - D,Corn - D
1990-02-01,-0.84,-6.981307983,-1.378026375,0.39365387
1990-03-01,-1.71,-4.409240723,9.829921475,3.543151855
1990-04-01,-1.98,2.939498901,2.38857905,8.661018372
1990-05-01,-0.18,-10.28823853,7.648046381,2.755760193
1990-06-01,-1.56,-13.59515381,-7.257605575,-1.181030273
1990-07-01,1.73,-10.65566254,1.400993481,-5.117874146
1990-08-01,8.81,-8.083618164,0.252638169,-5.117874146
1990-09-01,6.57,-2.572044373,4.202980444,-7.479957581
1990-10-01,2.33,0.367431641,-2.112973775,-2.362091064
1990-11-01,-3.69,-1.837173462,-12.95344793,0
1990-12-01,-5.11,0.367424011,2.02110535,2.362091064
1991-01-01,-2.13,-1.837173462,-6.361888431,3.149452209
1991-03-01,-0.63,2.572052002,3.192427769,0.787353516
1991-04-01,0.9,5.511550903,2.5723159,2.75579071
1991-05-01,0.47,1.469741821,-5.236500225,1.181053162
1991-06-01,-1.03,1.150085449,-1.791434288,-4.495849609
1991-07-01,1.31,-1.88495636,-9.761020156,-0.622024536
1991-08-01,0.18,-1.942207336,8.980138544,0.616760254
1991-09-01,0.16,7.117256165,8.153322719,4.388916016
1991-10-01,1.44,10.04603577,-10.49596756,-1.265686035
1991-11-01,-0.84,11.51431274,-0.068901319,0.670196533
1991-12-01,-2.95,2.649337769,-1.515829013,-2.725456238
1992-01-01,-0.75,11.30014038,4.455618612,-0.077186584
1992-02-01,0.23,9.118103027,2.549348794,2.86567688
1992-03-01,-0.07,7.175827026,4.983862056,4.334899902
1992-04-01,1.31,-7.77986145,-4.846059419,2.763336182
1992-05-01,0.74,-9.419540405,9.072006969,-7.629455566
1992-06-01,1.4,-10.24208069,4.019243594,0.122772217
1992-07-01,-0.6,-1.023391724,-16.28367833,1.024017334
1992-08-01,-0.46,-12.34671021,-5.236500225,-7.807868958
1992-09-01,0.59,-8.150527954,0.022967106,-4.854125977
1992-10-01,-0.21,10.56730652,-5.213533119,0.676742554
1992-11-01,-1.36,1.845489502,7.53321085,-3.656906128
1992-12-01,-0.91,6.992904663,3.697704106,0.612892151
1993-01-01,-0.36,0.253463745,3.422098831,-1.129241943
1993-02-01,0.98,7.823120117,-2.296710625,0.051795959
1993-03-01,0.28,-6.766387939,4.088144913,0.158859253
1993-04-01,-0.06,-0.984725952,3.559901469,3.281112671
1993-05-01,-0.32,-5.90725708,3.812539638,2.952186584
1993-06-01,-0.83,-5.411590576,0.413407912,-1.264701843
1993-07-01,-1.25,-14.76302338,36.93110685,-6.496459961
1993-08-01,0.15,5.704612732,-12.19553342,9.162475586
1993-09-01,-0.5,2.274612427,-10.58783598,-1.575790405
1993-10-01,0.65,1.497299194,-9.967724112,0.718780518
1993-11-01,-1.48,4.661849976,17.84544156,4.735954285
1993-12-01,-2.17,10.54544067,8.589697737,10.16082764
1994-01-01,0.5,12.14378357,3.077592238,5.301040649
1994-02-01,-0.24,-5.437408447,-5.925513413,5.486953735
1994-03-01,-0.12,-6.170455933,0.872750038,-3.067443848
1994-04-01,1.75,-5.993743896,-7.785849019,-3.541717529
