Date,WTI - D,non-OPEC production - D,OPEC production - D,Saudi Prod - D,OECD Inventory - D,Futures Spread - D,Wheat - D,Copper - D,Corn - D,3 Month D,1 Yr D,5 Yr D,10 Yr D,US Dollar D
2006-01-01,5.85,-0.16,-0.15,-0.1,49.29,3.03,4.5745865,-1.651574662,0.114355289,0.37,0.41,0.39,0.33,-2.21
2006-02-01,-3.681954545,-0.16,0.2,0.1,49.29,3.03,14.31939368,-3.811633364,4.146094568,0.32,0.32,0.37,0.38,1.15
2006-03-01,1.361065217,-0.16,-0.125,-0.15,49.29,3.03,-3.094203509,8.45324859,-1.984421711,-0.14,-0.12,-0.06,0.02,-0.38
2006-04-01,6.641934783,-0.44,0,0,39.48,-0.16,5.41485614,-0.851785773,2.958267011,0.14,0.13,0.12,0.15,-3.62
2006-05-01,1.420673913,-0.44,-0.2,-0.15,39.48,-0.16,15.39542053,0.747817803,2.714334774,0.29,0.38,0.29,0.22,-1.39
2006-06-01,-0.020355731,-0.44,0.175,-0.1,39.48,-0.16,0.317331667,-13.4080557,-1.01232551,-0.08,-0.19,-0.27,-0.26,0.50
2006-07-01,3.427229437,1.2,0.35,0.2,135.31,5.4,4.427611833,-4.536648786,4.693253546,0.26,0.11,0.02,0.03,0.08
2006-08-01,-1.317308489,1.2,0,0,135.31,5.4,-16.2189885,18.57895085,0.971679107,-0.40,-0.34,-0.38,-0.38,-0.25
2006-09-01,-8.966977226,1.2,-0.35,-0.3,135.31,5.4,-0.187058667,26.11407367,4.992605357,0.12,0.04,0.03,0.02,0.92
2006-10-01,-5.224307359,1.04,-0.25,-0.2,80.31,2.93,17.48998533,-0.692443775,21.99251607,0.03,0.00,-0.10,-0.13,-0.65
2006-11-01,0.217272727,1.04,-0.3,0,80.31,2.93,-0.131227381,12.55978403,21.84399054,-0.11,-0.08,-0.06,-0.04,-2.40
2006-12-01,2.92465368,1.04,-0.1,-0.05,80.31,2.93,-2.771522286,22.17123146,-3.385666429,-0.07,-0.09,0.02,0.00,0.80
2007-01-01,-7.214554865,0.58,-0.25,0,-2.94,0.89,-6.962924833,-1.07879679,4.439284164,0.24,0.18,0.14,0.14,0.89
2007-02-01,4.479173913,0.58,0.03,-0.15,-2.94,0.89,2.7006595,-6.567518833,12.22486654,0.18,0.12,0.01,0.08,-1.04
2007-03-01,1.344818182,0.58,0.09,0,-2.94,0.89,-1.954095,12.81394783,-7.801615798,-0.07,0.01,0.11,0.13,-0.64
2007-04-01,3.351038961,0.59,0.05,0,-3.7,-0.54,5.242653167,19.62308433,-16.95270294,-0.35,-0.24,-0.13,-0.15,-1.48
2007-05-01,-0.445465839,0.59,0,0,-3.7,-0.54,-0.549484833,10.6469245,7.508592143,0.09,0.27,0.56,0.56,0.85
2007-06-01,3.984513458,0.59,-0.1,0,-3.7,-0.54,28.51054032,-4.469722761,4.398105556,-0.01,-0.22,-0.36,-0.33,-0.38
2007-07-01,6.525822511,-0.18,0.075,0,-129.83,-11.99,15.48483095,38.55502988,-17.32086317,-0.42,-0.27,-0.23,-0.10,-1.15
2007-08-01,-1.639466403,-0.18,-0.045,0,-129.83,-11.99,18.68525757,10.84128334,3.814384398,-0.52,-0.54,-0.44,-0.38,0.02
2007-09-01,7.23473913,-0.18,0.55,0.2,-129.83,-11.99,57.26546695,30.61233279,9.094245865,0.03,-0.01,0.03,0.04,-3.07
2007-10-01,6.290913043,0.12,0.1,0,-113.19,-11.4,5.678031602,34.06556544,3.989072148,-0.78,-0.74,-0.68,-0.56,-1.24
2007-11-01,9.000632411,0.12,-0.28,0.2,-113.19,-11.4,-17.13487263,38.63446956,6.999839666,-0.13,-0.07,-0.01,0.13,-0.33
2007-12-01,-3.145497835,0.12,0.58,0.1,-113.19,-11.4,52.73007783,46.50068334,9.169320263,-0.35,-0.63,-0.60,-0.48,0.55
2008-01-01,1.243561077,0.02,0.15,0.1,-34.77,-8.84,-3.108630847,-12.52500874,26.27554067,-0.50,-0.52,-0.07,0.14,-1.52
2008-02-01,2.386915114,0.02,0.2,0,-34.77,-8.84,57.75666975,-12.89954395,13.48879342,-0.85,-0.49,-0.28,-0.22,-1.47
2008-03-01,9.955238095,0.02,0,0,-34.77,-8.84,9.939161833,6.297925852,13.87833154,0.09,0.27,0.48,0.33,-1.91
2008-04-01,7.273874459,-0.06,-0.1,-0.1,-67.35,-0.85,-76.96128,63.3828825,12.71593321,0.37,0.22,0.17,0.03,0.71
2008-05-01,13.03681818,-0.06,0.4,0.3,-67.35,-0.85,-38.43133032,1.677127216,-3.110088929,0.21,0.46,0.48,0.40,0.37
2008-06-01,8.271688312,-0.06,0.05,0.05,-67.35,-0.85,25.73806365,-83.08191972,43.60029732,-0.31,-0.24,-0.33,-0.27,-0.42
2008-07-01,-0.031490683,-0.15,0.4,0.25,-2.9,8.56,-14.73087,-37.68416375,-19.99061681,0.17,-0.01,-0.02,0.05,0.77
2008-08-01,-17.25517598,-0.15,-0.15,-0.1,-2.9,8.56,4.736592667,-94.59829124,-31.98198741,-0.66,-0.35,-0.39,-0.37,4.15
2008-09-01,-12.18002165,-0.15,-0.33,-0.2,-2.9,8.56,-41.1144133,-9.648374314,-1.213853274,-0.44,-0.47,-0.15,0.13,2.07
2008-10-01,-27.84567194,-0.05,-0.05,0,112.01,20.35,-60.27472437,-10.32229864,-50.9209105,-0.48,-0.40,-0.55,-0.47,6.18
2008-11-01,-19.46378261,-0.05,-0.67,-0.45,112.01,20.35,-8.660305392,45.90373739,-18.72030268,-0.14,-0.49,-0.61,-0.86,0.89
2008-12-01,-16.50230435,-0.05,-0.45,-0.45,112.01,20.35,-5.269679925,-23.44634836,-5.394603246,0.09,-0.07,0.00,-0.02,-5.21
2009-01-01,0.982213439,0.28,-0.95,-0.4,169.19,15.65,22.43113365,-7.613769319,14.38533297,0.16,0.19,0.33,0.44,4.69
2009-02-01,-2.562409091,0.28,0,-0.05,169.19,15.65,-16.0511807,40.80857123,-9.895169416,-0.06,0.05,0.04,0.09,2.01
2009-03-01,8.906954545,0.28,0.05,0,169.19,15.65,3.875665702,47.88863286,1.177069841,-0.07,-0.12,-0.04,-0.03,-2.58
2009-04-01,1.944090909,0.58,0.05,0,152.23,4.38,1.787078333,22.75311868,4.218875085,0.02,-0.05,0.26,0.34,-0.82
2009-05-01,9.295692641,0.58,0.05,0,152.23,4.38,26.29844433,-47.01940974,11.2743067,0.01,0.04,0.67,0.59,-4.18
2009-06-01,10.40612554,0.58,0.25,0.25,152.23,4.38,0.128602833,10.86861944,-0.6764175,0.00,-0.06,-0.35,-0.31,-0.30
2009-07-01,-5.387450593,1.38,0.25,0.2,120.7,2.24,-31.98870217,-59.90535375,-27.59353929,0.00,0.00,0.22,0.18,-1.78
2009-08-01,6.826086957,1.38,-0.1,-0.1,120.7,2.24,-15.77194056,5.812781761,0.236038861,-0.05,-0.07,-0.31,-0.34,-0.18
2009-09-01,-1.681363636,1.38,-0.1,-0.1,120.7,2.24,-22.62360048,15.84238029,-1.44350119,-0.05,-0.03,-0.03,-0.01,-1.52
2009-10-01,6.393636364,1.38,-0.05,0,-37.73,-9.83,6.795987698,8.592180211,16.6863284,-0.02,-0.07,-0.21,-0.16,-0.35
2009-11-01,2.178203463,1.38,-0.05,0,-37.73,-9.83,13.88084307,-20.3327593,4.407733083,0.01,0.07,0.22,0.36,-1.42
2009-12-01,-3.347432712,1.38,-0.1,-0.1,-37.73,-9.83,-6.451782673,-14.30586951,-7.074034868,0.00,-0.04,0.01,-0.06,2.98
2010-01-01,3.783146998,1.64,-0.09,-0.09,-67.73,-8.79,-3.333635923,4.28858677,2.722811184,0.05,0.02,0.00,0.13,1.60
2010-02-01,-2.087190476,1.64,0.05,0.05,-67.73,-8.79,-7.660302437,8.689352533,-5.428669549,0.05,0.07,0.19,0.22,0.90
2010-03-01,4.951434783,1.64,-0.11,-0.01,-67.73,-8.79,-3.697442399,-8.587308888,-2.979191868,0.01,0.05,0.15,0.12,0.71
2010-04-01,3.245019763,1.89,0.05,0.05,-3.26,-1.25,0.361350759,-0.537376612,-1.661126723,-0.01,-0.09,-0.51,-0.59,0.80
2010-05-01,-10.75402597,1.89,-0.09,-0.09,-3.26,-1.25,1.502990937,22.46177375,5.973657849,-0.03,-0.04,-0.08,-0.05,4.72
2010-06-01,1.612207792,1.89,0.12,0.07,-3.26,-1.25,-9.115769667,8.486442659,-10.36636661,0.03,-0.04,-0.31,-0.33,-0.57
2010-07-01,0.805454545,1.66,-0.1,0,-34,0.89,33.52581222,10.76900584,11.04781165,0.00,-0.02,-0.22,-0.18,-4.48
2010-08-01,0.442727273,1.66,0.01,0.01,-34,0.89,37.13893944,36.9449155,11.67838478,-0.01,-0.01,-0.12,-0.17,1.66
2010-09-01,-1.341818182,1.66,0.04,-0.01,-34,0.89,20.55474117,32.78500375,30.23939005,-0.02,-0.03,-0.22,-0.11,-4.48
2010-10-01,6.63952381,1.74,-0.01,-0.01,14.26,-2.03,-5.832619659,23.79472702,29.86360255,0.00,0.01,0.10,0.09,-1.45
2010-11-01,2.292294372,1.74,0.05,0.05,14.26,-2.03,7.240570159,27.34900398,2.533625791,0.00,0.05,0.62,0.64,3.93
2010-12-01,5.031660079,1.74,0.2,0.05,14.26,-2.03,32.61668483,0.947600684,12.3888021,0.01,-0.02,0.05,0.08,-2.17
2011-01-01,0.286521739,0.97,0.61,0.41,-36.13,-1.32,21.53178867,-13.31265451,14.65997313,-0.02,0.01,0.25,0.17,-1.29
2011-02-01,-0.144,0.97,0.32,0.42,-36.13,-1.32,21.61204457,2.729018501,28.11127301,-0.03,-0.01,-0.03,0.02,-0.85
2011-03-01,13.55008696,0.97,0,-0.2,-36.13,-1.32,-32.22484029,-2.703723925,-2.962075253,-0.04,-0.02,-0.05,-0.12,-1.03
2011-04-01,7.126770186,0.25,0.2,0,-78.3,0.75,21.87859731,1.007668136,28.50405428,-0.02,-0.06,-0.31,-0.27,-2.93
2011-05-01,-8.791493506,0.25,0.05,0,-78.3,0.75,-0.059858104,2.054306864,-10.36355459,0.00,0.00,-0.18,-0.02,1.71
2011-06-01,-4.997272727,0.25,0.7,0.7,-78.3,0.75,-21.89668032,-0.403381924,1.961252857,0.00,0.00,-0.11,-0.14,-0.34
2011-07-01,0.939718615,0.26,0.2,0.2,-84.54,-3.15,-13.83566067,-10.51474608,-9.704264821,-0.01,-0.06,-0.45,-0.56,-0.40
2011-08-01,-10.87250518,0.26,0.15,0.1,-84.54,-3.15,17.226099,-44.89292775,9.474902182,-0.01,-0.01,-0.16,-0.42,0.23
2011-09-01,-0.704486166,0.26,-0.1,-0.2,-84.54,-3.15,-16.3477504,-17.1908025,-14.00761522,0.00,0.01,0.15,0.16,4.42
2011-10-01,0.789372294,0.29,-0.25,-0.2,-80.18,-4.09,-20.75142317,-8.77911975,-21.45312041,-0.01,-0.01,-0.19,-0.22,-2.38
2011-11-01,10.66017316,0.29,0.3,0.3,-80.18,-4.09,-7.051284603,21.68665665,-0.568027092,0.00,0.01,0.03,0.06,2.22
2011-12-01,1.545909091,0.29,-0.05,0,-80.18,-4.09,-8.478163659,19.82322615,-15.76040845,0.02,-0.01,-0.09,-0.10,1.78
2012-01-01,1.536363636,0.86,-0.1,0,3.21,1.1,7.642682667,34.73448768,14.40220506,0.06,0.05,0.03,0.09,-0.89
2012-02-01,2.114220779,0.86,0.05,0.2,3.21,1.1,2.278107333,33.13112622,6.594175893,0.00,0.04,0.23,0.30,-0.55
2012-03-01,3.887597403,0.86,0.18,-0.01,3.21,1.1,-2.486878167,-8.496145541,1.200730536,0.00,-0.01,-0.12,-0.12,0.20
2012-04-01,-2.866168831,0.68,-0.01,-0.1,-4.4,-1,-15.4072875,1.403736591,-6.495755357,0.00,0.00,-0.17,-0.33,-0.14
2012-05-01,-8.777329193,0.68,-0.315,-0.2,-4.4,-1,0.793329167,87.117563,-5.334393036,0.01,0.01,-0.02,-0.10,4.25
2012-06-01,-12.14743271,0.68,0.155,0.29,-4.4,-1,13.08615349,13.46679427,-1.555981803,0.00,-0.01,-0.12,-0.17,-1.39
2012-07-01,5.530930736,0.52,-0.06,-0.005,57.01,-0.99,68.7806446,-7.732152522,65.66993078,0.01,0.01,0.12,0.22,0.99
2012-08-01,6.219980237,0.52,0.05,0,57.01,-0.99,4.801781035,-49.65591545,-0.765357209,0.00,-0.02,-0.08,-0.04,-1.39
2012-09-01,0.495565217,0.52,-0.13,-0.215,57.01,-0.99,1.104832449,-32.4968738,-11.5275897,0.00,0.00,0.01,-0.04,-1.31
2012-10-01,-5.088608696,1.17,-0.25,0,55.63,2.41,1.754783349,1.762166612,0.676511682,-0.01,0.00,-0.04,-0.09,-0.02
2012-11-01,-2.82784585,1.17,-0.07,-0.26,55.63,2.41,1.052101263,-8.743469612,0.214453167,-0.02,-0.01,0.06,0.13,0.23
2012-12-01,1.501883117,1.17,-0.42,-0.3,55.63,2.41,-16.42138005,10.32852514,-12.84646992,0.00,-0.02,0.07,0.11,-0.38
2013-01-01,6.461180124,0.62,-0.15,-0.1,2.57,-5.12,-14.8282336,-0.29443307,-5.390189339,0.03,0.02,0.07,0.14,-0.56
2013-02-01,0.642391304,0.62,0,0,2.57,-5.12,-16.53173384,-18.29168193,-0.749870748,-0.01,-0.01,-0.02,-0.02,2.77
2013-03-01,-2.176904762,0.62,0,0,2.57,-5.12,-8.336729704,24.40950798,6.968864599,-0.02,-0.02,-0.07,-0.11,1.01
2013-04-01,-1.099004329,1.56,0.4,0.3,-32.62,-10.05,0.828402667,17.95848338,-29.81435865,-0.02,-0.01,0.09,0.09,-1.26
2013-05-01,2.699604743,1.56,0.1,0.2,-32.62,-10.05,11.874885,-11.80808905,15.60412857,0.01,0.03,0.40,0.46,1.65
2013-06-01,1.070804348,1.56,0.225,0.2,-32.62,-10.05,-9.1942675,-50.30129022,1.742938214,-0.02,-0.03,0.14,0.17,-0.21
2013-07-01,8.755717391,2.37,0.2,0.2,-39.55,-10.13,-9.377985833,5.188794999,-18.09864179,0.01,0.01,0.18,0.27,-1.72
2013-08-01,2.001146245,2.37,0.375,0.2,-39.55,-10.13,1.453045,-30.40960532,-44.07450536,-0.03,-0.01,0.00,-0.06,0.64
2013-09-01,-0.232554113,2.37,-0.55,-0.1,-39.55,-10.13,-1.426322333,3.834724299,-27.44859268,0.03,0.00,-0.21,-0.17,-1.87
2013-10-01,-5.813374741,1.96,-0.15,-0.3,-95.19,-7.85,20.64994067,12.00709754,-5.710180536,0.02,-0.01,-0.07,-0.04,-0.02
2013-11-01,-6.68805383,1.96,0,0,-95.19,-7.85,-18.37183333,-12.56722025,-2.597548684,0.00,0.02,0.26,0.31,0.48
2013-12-01,4.089891775,1.96,-0.03,0,-95.19,-7.85,-13.6651446,20.69687899,-1.628995533,-0.02,-0.02,0.00,-0.16,-0.64
2014-01-01,-2.905750988,2.33,0.35,0.1,-73.93,-6.3,-16.13221937,25.20212626,1.218539966,0.01,0.00,-0.06,-0.04,1.23
2014-02-01,5.707478261,2.33,0.25,-0.05,-73.93,-6.3,12.81792221,25.1869315,10.58403094,0.00,0.02,0.20,0.15,-1.49
2014-03-01,-0.130666667,2.33,-0.25,-0.2,-73.93,-6.3,32.81421239,-1.154802,13.03689763,-0.02,-0.03,-0.02,-0.14,0.32
2014-04-01,1.60530303,2.62,-0.225,0,1.97,-2.05,0.769867302,-18.0306585,0.037493537,0.00,-0.01,-0.10,-0.14,-0.61
2014-05-01,-0.175454545,2.62,0.325,0,1.97,-2.05,11.53051254,-64.76892326,-5.455309694,0.00,0.01,0.16,0.16,0.88
2014-06-01,3.238722944,2.62,0,0,1.97,-2.05,-26.26297317,-30.24853524,-14.34127806,-0.01,0.00,-0.05,-0.17,-0.59
2014-07-01,-2.255817805,2.38,0.07,0.15,35.69,4.7,-23.09999563,-64.1352535,-20.33930671,0.01,0.00,0.01,-0.01,1.68
