Date,WTI - D,OECD Inventory - D,Futures Spread - D
2006-01-01,5.85,49.29,3.03
2006-02-01,-3.681954545,49.29,3.03
2006-03-01,1.361065217,49.29,3.03
2006-04-01,6.641934783,39.48,-0.16
2006-05-01,1.420673913,39.48,-0.16
2006-06-01,-0.020355731,39.48,-0.16
2006-07-01,3.427229437,135.31,5.4
2006-08-01,-1.317308489,135.31,5.4
2006-09-01,-8.966977226,135.31,5.4
2006-10-01,-5.224307359,80.31,2.93
2006-11-01,0.217272727,80.31,2.93
2006-12-01,2.92465368,80.31,2.93
2007-01-01,-7.214554865,-2.94,0.89
2007-02-01,4.479173913,-2.94,0.89
2007-03-01,1.344818182,-2.94,0.89
2007-04-01,3.351038961,-3.7,-0.54
2007-05-01,-0.445465839,-3.7,-0.54
2007-06-01,3.984513458,-3.7,-0.54
2007-07-01,6.525822511,-129.83,-11.99
2007-08-01,-1.639466403,-129.83,-11.99
2007-09-01,7.23473913,-129.83,-11.99
2007-10-01,6.290913043,-113.19,-11.4
2007-11-01,9.000632411,-113.19,-11.4
2007-12-01,-3.145497835,-113.19,-11.4
2008-01-01,1.243561077,-34.77,-8.84
2008-02-01,2.386915114,-34.77,-8.84
2008-03-01,9.955238095,-34.77,-8.84
2008-04-01,7.273874459,-67.35,-0.85
2008-05-01,13.03681818,-67.35,-0.85
2008-06-01,8.271688312,-67.35,-0.85
2008-07-01,-0.031490683,-2.9,8.56
2008-08-01,-17.25517598,-2.9,8.56
2008-09-01,-12.18002165,-2.9,8.56
2008-10-01,-27.84567194,112.01,20.35
2008-11-01,-19.46378261,112.01,20.35
2008-12-01,-16.50230435,112.01,20.35
2009-01-01,0.982213439,169.19,15.65
2009-02-01,-2.562409091,169.19,15.65
2009-03-01,8.906954545,169.19,15.65
2009-04-01,1.944090909,152.23,4.38
2009-05-01,9.295692641,152.23,4.38
2009-06-01,10.40612554,152.23,4.38
2009-07-01,-5.387450593,120.7,2.24
2009-08-01,6.826086957,120.7,2.24
2009-09-01,-1.681363636,120.7,2.24
2009-10-01,6.393636364,-37.73,-9.83
2009-11-01,2.178203463,-37.73,-9.83
2009-12-01,-3.347432712,-37.73,-9.83
2010-01-01,3.783146998,-67.73,-8.79
2010-02-01,-2.087190476,-67.73,-8.79
2010-03-01,4.951434783,-67.73,-8.79
2010-04-01,3.245019763,-3.26,-1.25
2010-05-01,-10.75402597,-3.26,-1.25
2010-06-01,1.612207792,-3.26,-1.25
2010-07-01,0.805454545,-34,0.89
2010-08-01,0.442727273,-34,0.89
2010-09-01,-1.341818182,-34,0.89
2010-10-01,6.63952381,14.26,-2.03
2010-11-01,2.292294372,14.26,-2.03
2010-12-01,5.031660079,14.26,-2.03
2011-01-01,0.286521739,-36.13,-1.32
2011-02-01,-0.144,-36.13,-1.32
2011-03-01,13.55008696,-36.13,-1.32
