Date,WTI - D,OPEC production - D,Saudi Prod - D
1993-01-01,-0.36,16.358129,8.5
1993-02-01,0.98,0.23459,-0.06
1993-03-01,0.28,-0.434915,-0.14
1993-04-01,-0.06,-0.498919,-0.3
1993-05-01,-0.32,0.173721,0
1993-06-01,-0.83,0.211832,0.15
1993-07-01,-1.25,0.37945,0.09
1993-08-01,0.15,-0.082081,0.105
1993-09-01,-0.5,0.08538,-0.075
1993-10-01,0.65,-0.051774,-0.125
1993-11-01,-1.48,-0.285479,-0.15
1993-12-01,-2.17,0.160425,0.01
1994-01-01,0.5,0.14741167,0.063334892
1994-02-01,-0.24,-0.03052344,-0.007476559
1994-03-01,-0.12,0.09024292,0.007476559
1994-04-01,1.75,-0.10940771,0.014953128
1994-05-01,1.48,0.06938305,-0.019937497
1994-06-01,1.19,0.11891137,0
1994-07-01,0.58,-0.08955981,0.009968748
1994-08-01,-1.27,0.06969775,0.019933588
1994-09-01,-0.93,0.10956517,0.059800772
1994-10-01,0.25,-0.0287185,0.064789062
1994-11-01,0.37,0.09952856,0
1994-12-01,-0.9,-0.0106604,0.054816393
1995-01-01,0.85,-0.23782601,-0.152659086
1995-02-01,0.53,0.2,0.1
1995-03-01,0,-0.32,-0.11
1995-04-01,1.36,0.27,0.11
1995-05-01,-0.18,0.36,0.18
1995-06-01,-1.31,-0.55,-0.3
1995-07-01,-1.12,0.27,0.31
1995-08-01,0.71,0.18,0.015
1995-09-01,0.21,-0.2,-0.11
1995-10-01,-0.79,0.13,0
1995-11-01,0.58,-0.39,-0.295
1995-12-01,1.02,0.02137671,0.09
1996-01-01,-0.16,0.19046862,0.0075
1996-02-01,0.22,0.075,0.1305
1996-03-01,2.22,0.05,0
1996-04-01,2.25,-0.215,-0.16
1996-05-01,-2.35,0.01,0.047
1996-06-01,-0.79,0.115,0.06
1996-07-01,0.87,0.09,0.1
1996-08-01,0.65,-0.07,-0.075
1996-09-01,2.07,0.08,-0.02
1996-10-01,0.89,-0.04,0.055
1996-11-01,-1.29,-0.01,0
1996-12-01,1.76,0.44706299,0.103
1997-01-01,-0.2,-0.13988933,-0.286061508
1997-02-01,-2.98,0.20088193,0.139659674
1997-03-01,-1.21,0.21014917,0.104500595
1997-04-01,-1.27,0.15101911,0.051761977
1997-05-01,1.12,-0.24796429,-0.019532822
1997-06-01,-1.66,-0.47142193,-0.007813128
1997-07-01,0.46,-0.0111931,0.019532821
1997-08-01,0.29,0.98336458,0.097664108
1997-09-01,-0.15,0.02382712,0.004883205
1997-10-01,1.48,0.0429373,0
1997-11-01,-1.15,-0.2475569,-0.048832054
1997-12-01,-1.8,-0.38393708,0.107430519
1998-01-01,-1.6,0.93847148,0.243806613
1998-02-01,-0.64,0.432,-0.005
1998-03-01,-0.95,-0.133,-0.3
1998-04-01,0.21,0.33,0.125
1998-05-01,-0.42,0,0.04
1998-06-01,-1.19,-0.455,-0.3
1998-07-01,0.41,0.085,-0.05
1998-08-01,-0.72,-0.03,-0.05
1998-09-01,1.58,0.145,-0.052
1998-10-01,-0.56,-0.165,0.047
1998-11-01,-1.46,0.1,-0.05
1998-12-01,-1.65,-0.32,-0.06
1999-01-01,1.03,0.17930024,-0.045001833
1999-02-01,-0.35,0.59996651,0.099999977
1999-03-01,2.37,-0.37997167,0.054999987
1999-04-01,2.87,-0.92997022,-0.554999873
1999-05-01,0.52,-0.01998615,0
1999-06-01,-0.03,-0.42999447,-0.054999988
1999-07-01,2.17,0.56999061,0
1999-08-01,1.28,0.2099964,0.099999977
1999-09-01,2.35,0.00500092,0.024999995
1999-10-01,-0.58,0.01499726,0.109999975
1999-11-01,2.12,-0.55498804,0.019999995
1999-12-01,0.96,-0.78500963,-0.002
2000-01-01,1.22,0.90554516,1.788E-06
2000-02-01,1.97,0.49843952,0.002
2000-03-01,0.71,-0.09684172,0
2000-04-01,-4.14,0.75401186,0.235
2000-05-01,3,0.50993915,0.1
2000-06-01,3.08,-0.47124941,0.05
2000-07-01,-1.89,0.20427509,0.14
2000-08-01,1.34,0.96494361,0.4325
2000-09-01,2.58,0.04502596,0.1525
2000-10-01,-0.84,0.09361103,-0.175
2000-11-01,1.32,-0.08508235,0.1
2000-12-01,-5.97,-1.48534361,-0.1
2001-01-01,1.12,0.25466122,-0.1
2001-02-01,0.05,-0.20508047,-0.38
2001-03-01,-2.33,0.68757796,-0.02
2001-04-01,0.13,-0.5020865,-0.35
2001-05-01,1.24,-0.14258351,0.05
2001-06-01,-1.05,-1.59851275,0.05
2001-07-01,-1.12,1.28262591,0.2
2001-08-01,1.01,0.44946006,-0.18
2001-09-01,-1.86,-0.73702592,-0.27
2001-10-01,-3.41,-0.06489158,-0.13
2001-11-01,-2.59,-0.11400684,0
2001-12-01,-0.28,-0.88037122,-0.07
2002-01-01,0.38,-0.15637241,-0.3
2002-02-01,1.03,0.063,-0.09
2002-03-01,3.66,0.142,0.1
2002-04-01,1.86,-1.14,0.145
2002-05-01,0.8,0.675,-0.005
2002-06-01,-1.53,-0.26,0.05
2002-07-01,1.41,0.56,0.2
2002-08-01,1.45,-0.275,0.03
2002-09-01,1.3,0.548,0.15
2002-10-01,-0.82,0.68,0.02
2002-11-01,-2.29,0.167,0.2
2002-12-01,2.88,-0.001,-0.0505
2003-01-01,3.475217391,0.75425069,0.449075387
2003-02-01,2.937282609,0.416789,0.298012941
2003-03-01,-2.536785714,-0.05709585,0.585116924
2003-04-01,-4.987532468,-1.08467873,0.138841304
2003-05-01,-0.126363636,-0.1217452,-0.19834472
2003-06-01,2.508181818,-0.76605919,-0.694206519
2003-07-01,0.024347826,0.06014936,-0.089255124
2003-08-01,0.849461698,0.46878094,0
2003-09-01,-3.150627706,0.24960768,-0.059503416
2003-10-01,1.888557312,0.57636255,0.09917236
2003-11-01,0.70226087,0.02050291,-0.14875854
2003-12-01,1.154695652,0.50553174,0.158675776
2004-01-01,1.945395257,0.3486041,0.111673627
2004-02-01,0.597409091,-0.08,0
2004-03-01,2.009804348,-0.095,-0.3
2004-04-01,0.009150198,-0.055,0
2004-05-01,3.52525974,-0.19,0.1
2004-06-01,-2.215714286,1.03,1
2004-07-01,2.661363636,0.32,0
2004-08-01,4.212272727,-0.13,0
2004-09-01,0.918636364,0.5,0
2004-10-01,7.403917749,-0.1,0
2004-11-01,-4.725735931,-0.5,0
2004-12-01,-5.246976285,0.2,0
2005-01-01,3.620807453,-0.05,0
2005-02-01,1.087714286,0.05,0
2005-03-01,6.061043478,0.05,0
2005-04-01,-1.080186335,0.15,0.1
2005-05-01,-3.056493506,-0.2,0
2005-06-01,6.482727273,0.1,0
2005-07-01,2.280909091,0.2,0
2005-08-01,6.285652174,-0.05,0
2005-09-01,0.674802372,0.25,0
2005-10-01,-3.266645022,-0.35,-0.1
2005-11-01,-4.064718615,-0.1,0
2005-12-01,1.061363636,-0.1,0
2006-01-01,5.85,-0.15,-0.1
2006-02-01,-3.681954545,0.2,0.1
2006-03-01,1.361065217,-0.125,-0.15
2006-04-01,6.641934783,0,0
2006-05-01,1.420673913,-0.2,-0.15
2006-06-01,-0.020355731,0.175,-0.1
2006-07-01,3.427229437,0.35,0.2
2006-08-01,-1.317308489,0,0
2006-09-01,-8.966977226,-0.35,-0.3
2006-10-01,-5.224307359,-0.25,-0.2
2006-11-01,0.217272727,-0.3,0
2006-12-01,2.92465368,-0.1,-0.05
2007-01-01,-7.214554865,-0.25,0
2007-02-01,4.479173913,0.03,-0.15
2007-03-01,1.344818182,0.09,0
2007-04-01,3.351038961,0.05,0
2007-05-01,-0.445465839,0,0
2007-06-01,3.984513458,-0.1,0
2007-07-01,6.525822511,0.075,0
2007-08-01,-1.639466403,-0.045,0
2007-09-01,7.23473913,0.55,0.2
2007-10-01,6.290913043,0.1,0
2007-11-01,9.000632411,-0.28,0.2
2007-12-01,-3.145497835,0.58,0.1
2008-01-01,1.243561077,0.15,0.1
2008-02-01,2.386915114,0.2,0
2008-03-01,9.955238095,0,0
2008-04-01,7.273874459,-0.1,-0.1
2008-05-01,13.03681818,0.4,0.3
2008-06-01,8.271688312,0.05,0.05
2008-07-01,-0.031490683,0.4,0.25
2008-08-01,-17.25517598,-0.15,-0.1
2008-09-01,-12.18002165,-0.33,-0.2
2008-10-01,-27.84567194,-0.05,0
2008-11-01,-19.46378261,-0.67,-0.45
2008-12-01,-16.50230435,-0.45,-0.45
2009-01-01,0.982213439,-0.95,-0.4
2009-02-01,-2.562409091,0,-0.05
2009-03-01,8.906954545,0.05,0
2009-04-01,1.944090909,0.05,0
2009-05-01,9.295692641,0.05,0
2009-06-01,10.40612554,0.25,0.25
2009-07-01,-5.387450593,0.25,0.2
2009-08-01,6.826086957,-0.1,-0.1
2009-09-01,-1.681363636,-0.1,-0.1
2009-10-01,6.393636364,-0.05,0
2009-11-01,2.178203463,-0.05,0
2009-12-01,-3.347432712,-0.1,-0.1
2010-01-01,3.783146998,-0.09,-0.09
2010-02-01,-2.087190476,0.05,0.05
2010-03-01,4.951434783,-0.11,-0.01
2010-04-01,3.245019763,0.05,0.05
2010-05-01,-10.75402597,-0.09,-0.09
2010-06-01,1.612207792,0.12,0.07
2010-07-01,0.805454545,-0.1,0
2010-08-01,0.442727273,0.01,0.01
2010-09-01,-1.341818182,0.04,-0.01
2010-10-01,6.63952381,-0.01,-0.01
2010-11-01,2.292294372,0.05,0.05
2010-12-01,5.031660079,0.2,0.05
2011-01-01,0.286521739,0.61,0.41
2011-02-01,-0.144,0.32,0.42
2011-03-01,13.55008696,0,-0.2
2011-04-01,7.126770186,0.2,0
2011-05-01,-8.791493506,0.05,0
