Date,Price D,3 Month D,1 Yr D,5 Yr D,10 Yr D,US Dollar D
1990-02-01,-0.84,0.57,0.64,0.60,0.54,0.88
1990-03-01,-1.71,-0.51,-0.35,-0.25,-0.22,0.40
1990-04-01,-1.98,0.00,-0.05,0.01,0.01,-0.62
1990-05-01,-0.18,0.33,0.14,0.07,0.10,-0.09
1990-06-01,-1.56,-0.47,-0.52,-0.48,-0.39,-1.83
1990-07-01,1.73,0.18,0.20,0.48,0.67,-3.98
1990-08-01,8.81,-0.48,-0.40,-0.35,-0.30,-0.61
1990-09-01,6.57,-0.14,-0.15,-0.12,-0.11,-0.56
1990-10-01,2.33,-0.45,-0.57,-0.67,-0.71,-2.72
1990-11-01,-3.69,-0.01,0.07,0.07,0.06,-0.35
1990-12-01,-5.11,-0.77,-0.65,-0.33,-0.30,0.14
1991-01-01,-2.13,-0.04,-0.11,0.07,0.07,-1.07
1991-02-01,-4.70,-0.01,0.14,0.30,0.26,2.08
1991-03-01,-0.63,0.02,0.14,0.30,0.32,7.94
1991-04-01,0.90,-0.44,-0.37,-0.33,-0.32,-0.48
1991-05-01,0.47,0.36,0.49,0.57,0.57,1.59
1991-06-01,-1.03,-0.25,-0.33,-0.37,-0.37,2.93
1991-07-01,1.31,0.00,-0.25,-0.14,-0.01,-2.57
1991-08-01,0.18,-0.38,-0.47,-0.63,-0.61,0.00
1991-09-01,0.16,-0.20,-0.21,-0.22,-0.09,-3.59
1991-10-01,1.44,-0.68,-0.68,-0.58,-0.49,0.03
1991-11-01,-0.84,-0.25,-0.24,-0.08,0.06,-1.74
1991-12-01,-2.95,-0.43,-0.39,-0.21,-0.35,-4.67
1992-01-01,-0.75,0.19,0.28,0.55,0.55,3.97
1992-02-01,0.23,0.39,0.56,0.70,0.57,1.50
1992-03-01,-0.07,-0.47,-0.53,-0.47,-0.40,0.66
1992-04-01,1.31,-0.12,-0.11,-0.10,-0.10,-0.03
1992-05-01,0.74,0.20,0.18,0.11,0.22,-2.40
1992-06-01,1.40,-0.61,-0.73,-0.90,-0.71,-3.50
1992-07-01,-0.60,0.06,0.03,0.01,0.04,-1.81
1992-08-01,-0.46,-0.37,-0.43,-0.46,-0.46,-3.03
1992-09-01,0.59,-0.03,0.11,0.21,0.17,2.22
1992-10-01,-0.21,0.10,0.18,0.12,-0.07,6.53
