Date, WTI ,WTI - D,non-OPEC production change
2001-01-01, $29.52 ,1.12,0.72
2001-02-01, $29.57 ,0.05,0.72
2001-03-01, $27.24 ,-2.33,0.72
2001-04-01, $27.37 ,0.13,0.48
2001-05-01, $28.61 ,1.24,0.48
2001-06-01, $27.56 ,-1.05,0.48
2001-07-01, $26.44 ,-1.12,0.59
2001-08-01, $27.45 ,1.01,0.59
2001-09-01, $25.59 ,-1.86,0.59
2001-10-01, $22.18 ,-3.41,0.64
2001-11-01, $19.59 ,-2.59,0.64
2001-12-01, $19.31 ,-0.28,0.64
2002-01-01, $19.69 ,0.38,0.8
2002-02-01, $20.72 ,1.03,0.8
2002-03-01, $24.38 ,3.66,0.8
2002-04-01, $26.24 ,1.86,1.56
2002-05-01, $27.04 ,0.8,1.56
2002-06-01, $25.51 ,-1.53,1.56
2002-07-01, $26.92 ,1.41,0.74
2002-08-01, $28.37 ,1.45,0.74
2002-09-01, $29.67 ,1.3,0.74
2002-10-01, $28.85 ,-0.82,0.74
2002-11-01, $26.56 ,-2.29,0.74
2002-12-01, $29.44 ,2.88,0.74
2003-01-01, $32.92 ,3.475217391,1.14
2003-02-01, $35.85 ,2.937282609,1.14
2003-03-01, $33.32 ,-2.536785714,1.14
2003-04-01, $28.33 ,-4.987532468,0.29
2003-05-01, $28.20 ,-0.126363636,0.29
2003-06-01, $30.71 ,2.508181818,0.29
2003-07-01, $30.73 ,0.024347826,1.28
2003-08-01, $31.58 ,0.849461698,1.28
2003-09-01, $28.43 ,-3.150627706,1.28
2003-10-01, $30.32 ,1.888557312,1.62
2003-11-01, $31.02 ,0.70226087,1.62
2003-12-01, $32.18 ,1.154695652,1.62
2004-01-01, $34.12 ,1.945395257,1.19
2004-02-01, $34.72 ,0.597409091,1.19
2004-03-01, $36.73 ,2.009804348,1.19
2004-04-01, $36.74 ,0.009150198,1.72
2004-05-01, $40.27 ,3.52525974,1.72
2004-06-01, $38.05 ,-2.215714286,1.72
2004-07-01, $40.71 ,2.661363636,0.87
2004-08-01, $44.92 ,4.212272727,0.87
2004-09-01, $45.84 ,0.918636364,0.87
2004-10-01, $53.25 ,7.403917749,0.49
2004-11-01, $48.52 ,-4.725735931,0.49
2004-12-01, $43.27 ,-5.246976285,0.49
2005-01-01, $46.89 ,3.620807453,0.14
2005-02-01, $47.98 ,1.087714286,0.14
2005-03-01, $54.04 ,6.061043478,0.14
2005-04-01, $52.96 ,-1.080186335,0.55
2005-05-01, $49.91 ,-3.056493506,0.55
2005-06-01, $56.39 ,6.482727273,0.55
2005-07-01, $58.67 ,2.280909091,-0.34
2005-08-01, $64.96 ,6.285652174,-0.34
2005-09-01, $65.63 ,0.674802372,-0.34
2005-10-01, $62.36 ,-3.266645022,-0.75
2005-11-01, $58.30 ,-4.064718615,-0.75
2005-12-01, $59.36 ,1.061363636,-0.75
2006-01-01, $65.21 ,5.85,-0.16
2006-02-01, $61.53 ,-3.681954545,-0.16
