Date,Price D,3 Month D,1 Yr D,5 Yr D,10 Yr D,S&P D,US Dollar D
2012-04-01,-2.866168831,0.00184265,0.000144928,-0.166066253,-0.328074534,1388.475,-0.139999
2012-05-01,-8.777329193,0.005776398,0.005569358,-0.017267081,-0.102401656,-105.5184783,4.25
2012-06-01,-12.14743271,0.001298701,-0.011774892,-0.120064935,-0.165108225,40.52776398,-1.389999
2012-07-01,5.530930736,0.009881423,0.006205534,0.122549407,0.220988142,-25.5161039,0.989997
2012-08-01,6.219980237,-0.002608696,-0.016478261,-0.078413043,-0.04126087,105.472253,-1.389999
2012-09-01,0.495565217,-0.004347826,-0.003086957,0.011456522,-0.042652174,-32.19193478,-1.309998
2012-10-01,-5.088608696,-0.010652174,-0.001640316,-0.042411067,-0.090711462,-58.45936957,-0.020004
2012-11-01,-2.82784585,-0.018333333,-0.011320346,0.058311688,0.133506494,18.33632411,0.230004
2012-12-01,1.501883117,0.00115942,-0.018343685,0.072360248,0.111118012,23.4321645,-0.380005
2013-01-01,6.461180124,0.026173913,0.016891304,0.068782609,0.13673913,-2.892401656,-0.559998
2013-02-01,0.642391304,-0.011142857,-0.00902381,-0.02447619,-0.020714286,85.03078261,2.770004
2013-03-01,-2.176904762,-0.022857143,-0.015930736,-0.069069264,-0.105194805,40.284,1.009995
2013-04-01,-1.099004329,-0.017826087,-0.011067194,0.093893281,0.085256917,93.72227273,-1.259995
2013-05-01,2.699604743,0.008326087,0.028521739,0.399152174,0.455652174,-2.157055336,1.649994
2013-06-01,1.070804348,-0.016586957,-0.025478261,0.138673913,0.17,50.22728261,-0.209999
2013-07-01,8.755717391,0.00972332,0.010296443,0.178280632,0.267272727,-22.64815217,-1.720001
2013-08-01,2.001146245,-0.028398268,-0.013961039,-0.000454545,-0.061558442,73.96928854,0.639999
2013-09-01,-0.232554113,0.029979296,0.003229814,-0.212608696,-0.173540373,-63.2617316,-1.869995
2013-10-01,-5.813374741,0.01621118,-0.006086957,-0.066915114,-0.042650104,113.194617,-0.020004
2013-11-01,-6.68805383,0.002207792,0.016818182,0.264069264,0.31047619,-21.41604555,0.480003
2013-12-01,4.089891775,-0.024071146,-0.020731225,-0.001067194,-0.160434783,26.99316017,-0.639999
