Crude Oil Production OPEC Total Monthly,
https://www.eia.gov/opendata/qb.php?category=1039874&sdid=STEO.COPR_OPEC.M,
22:34:18 GMT-0700 (Pacific Daylight Time),
Source: U.S. Energy Information Administration,
Month,Series ID: STEO.COPR_OPEC.M million barrels per day
Dec-23,29.286604
Nov-23,29.297944
Oct-23,29.319285
Sep-23,29.335625
Aug-23,29.346965
Jul-23,29.368305
Jun-23,29.384646
May-23,29.405986
Apr-23,29.427326
Mar-23,29.433667
Feb-23,29.425007
Jan-23,29.426347
Dec-22,29.313687
Nov-22,29.335028
Oct-22,29.336423
Sep-22,29.16151
Aug-22,29.096654
Jul-22,29.031598
Jun-22,28.056941
May-22,28.872083
Apr-22,28.837228
Mar-22,28.215
Feb-22,28.575
Jan-22,27.82
Dec-21,27.86
Nov-21,27.745
Oct-21,27.375
Sep-21,27.105
Aug-21,26.705
Jul-21,26.72
Jun-21,26.015
May-21,25.462
Apr-21,24.995
Mar-21,25.025
Feb-21,24.875
Jan-21,25.315
Dec-20,25.255
Nov-20,25.07
Oct-20,24.32
Sep-20,23.975
Aug-20,23.94
Jul-20,22.975
Jun-20,22.35
May-20,24.31
Apr-20,30.175
Mar-20,28.19
Feb-20,27.95
Jan-20,28.67
Dec-19,28.905
Nov-19,29.004586
Oct-19,29.145
Sep-19,27.685
Aug-19,29.245
Jul-19,29.005
Jun-19,29.425
May-19,29.335
Apr-19,29.655
Mar-19,29.595
Feb-19,30.091
Jan-19,30.156
Dec-18,30.816
Nov-18,31.596
Oct-18,31.841
Sep-18,31.666
Aug-18,31.53
Jul-18,31.286
Jun-18,31.229
May-18,31.228
Apr-18,31.343
Mar-18,31.409
Feb-18,31.586
Jan-18,31.756
Dec-17,31.477
Nov-17,31.631
Oct-17,31.87
Sep-17,32.065
Aug-17,31.917
Jul-17,32.05
Jun-17,31.83
May-17,31.399
Apr-17,30.896
Mar-17,30.815
Feb-17,31.192
Jan-17,31.31
Dec-16,32.249708
Nov-16,32.391315
Oct-16,31.999327
Sep-16,31.73552
Aug-16,31.683743
Jul-16,31.809995
Jun-16,31.725463
May-16,31.291351
Apr-16,31.266058
Mar-16,31.159545
Feb-16,31.06553
Jan-16,31.489542
Dec-15,31.10408
Nov-15,31.116449
Oct-15,30.991571
Sep-15,31.216643
Aug-15,31.087553
Jul-15,31.300724
Jun-15,31.092754
May-15,30.641529
Apr-15,30.391669
Mar-15,30.238039
Feb-15,29.405056
Jan-15,29.506678
Dec-14,29.898659
Nov-14,29.626997
Oct-14,30.178501
Sep-14,29.893686
Aug-14,29.638643
Jul-14,29.340824
Jun-14,29.089615
May-14,29.061111
Apr-14,28.758652
Mar-14,28.922813
Feb-14,29.419197
Jan-14,29.282776
Dec-13,28.759734
Nov-13,28.572233
