Crude Oil Production Saudi Arabia Monthly,
https://www.eia.gov/opendata/qb.php?category=1039874&sdid=STEO.COPR_SA.M,
22:28:55 GMT-0700 (Pacific Daylight Time),
Source: U.S. Energy Information Administration,
Month,Series ID: STEO.COPR_SA.M million barrels per day
2022-03-22,10
2022-02-22,10.25
2022-01-22,10
2022-12-21,9.9
2022-11-21,9.9
2022-10-21,9.8
2022-09-21,9.65
2022-08-21,9.55
2022-07-21,9.45
2022-06-21,8.947
2022-05-21,8.482
2022-04-21,8.15
2022-03-21,8.15
2022-02-21,8.2
2022-01-21,9.1
2022-12-20,9.01
2022-11-20,9.01
2022-10-20,9.01
2022-09-20,9.01
2022-08-20,8.9
2022-07-20,8.4
2022-06-20,7.7
2022-05-20,8.55
2022-04-20,11.6
2022-03-20,9.8
2022-02-20,9.75
2022-01-20,9.85
2022-12-19,9.75
2022-11-19,9.9
2022-10-19,9.85
2022-09-19,8.5
2022-08-19,9.85
2022-07-19,9.75
2022-06-19,10
2022-05-19,9.9
2022-04-19,9.85
2022-03-19,9.85
2022-02-19,10.1
2022-01-19,10.05
2022-12-18,10.5
2022-11-18,11
2022-10-18,10.72
2022-09-18,10.52
2022-08-18,10.42
2022-07-18,10.48
2022-06-18,10.42
2022-05-18,10.12
2022-04-18,10.06
2022-03-18,10.05
2022-02-18,10.1
2022-01-18,10.16
2022-12-17,10.06
2022-11-17,10.11
2022-10-17,10.16
2022-09-17,10.19
2022-08-17,10.14
2022-07-17,10.2
2022-06-17,10.25
2022-05-17,10.05
2022-04-17,9.98
2022-03-17,9.95
2022-02-17,10
2022-01-17,9.98
2022-12-16,10.5
2022-11-16,10.6
2022-10-16,10.55
2022-09-16,10.56
2022-08-16,10.6
2022-07-16,10.63
2022-06-16,10.5
2022-05-16,10.3
2022-04-16,10.2
2022-03-16,10.2
2022-02-16,10.2
2022-01-16,10.2
2022-12-15,10.1
2022-11-15,10.1
2022-10-15,10.2
2022-09-15,10.25
2022-08-15,10.25
2022-07-15,10.36
2022-06-15,10.45
2022-05-15,10.3
2022-04-15,10.1
2022-03-15,10.1
2022-02-15,9.7
2022-01-15,9.6
2022-12-14,9.6
2022-11-14,9.6
2022-10-14,9.7
2022-09-14,9.6
2022-08-14,9.7
2022-07-14,9.8
2022-06-14,9.65
2022-05-14,9.65
2022-04-14,9.65
2022-03-14,9.65
2022-02-14,9.85
2022-01-14,9.9
2022-12-13,9.8
2022-11-13,9.8
2022-10-13,9.8
2022-09-13,10.1
2022-08-13,10.2
2022-07-13,10
2022-06-13,9.8
2022-05-13,9.6
2022-04-13,9.4
2022-03-13,9.1
2022-02-13,9.1
2022-01-13,9.1
2022-12-12,9.2
2022-11-12,9.5
2022-10-12,9.76
2022-09-12,9.76
2022-08-12,9.975
2022-07-12,9.975
2022-06-12,9.98
2022-05-12,9.69
2022-04-12,9.89
2022-03-12,9.99
2022-02-12,10
2022-01-12,9.8
2022-12-11,9.8
2022-11-11,9.8
2022-10-11,9.5
2022-09-11,9.7
2022-08-11,9.9
2022-07-11,9.8
2022-06-11,9.6
2022-05-11,8.9
2022-04-11,8.9
2022-03-11,8.9
2022-02-11,9.1
2022-01-11,8.68
2022-12-10,8.27
2022-11-10,8.22
2022-10-10,8.17
2022-09-10,8.18
2022-08-10,8.19
2022-07-10,8.18
2022-06-10,8.18
2022-05-10,8.11
2022-04-10,8.2
2022-03-10,8.15
2022-02-10,8.16
2022-01-10,8.11
2022-12-09,8.2
2022-11-09,8.3
2022-10-09,8.3
2022-09-09,8.3
2022-08-09,8.4
2022-07-09,8.5
2022-06-09,8.3
2022-05-09,8.05
2022-04-09,8.05
2022-03-09,8.05
2022-02-09,8.05
2022-01-09,8.1
2022-12-08,8.5
2022-11-08,8.95
2022-10-08,9.4
2022-09-08,9.4
2022-08-08,9.6
2022-07-08,9.7
2022-06-08,9.45
2022-05-08,9.4
2022-04-08,9.1
2022-03-08,9.2
2022-02-08,9.2
2022-01-08,9.2
2022-12-07,9.1
2022-11-07,9
2022-10-07,8.8
2022-09-07,8.8
2022-08-07,8.6
2022-07-07,8.6
2022-06-07,8.6
2022-05-07,8.6
2022-04-07,8.6
2022-03-07,8.6
2022-02-07,8.6
2022-01-07,8.75
2022-12-06,8.75
2022-11-06,8.8
2022-10-06,8.8
2022-09-06,9
2022-08-06,9.3
2022-07-06,9.3
2022-06-06,9.1
2022-05-06,9.2
2022-04-06,9.35
2022-03-06,9.35
2022-02-06,9.5
2022-01-06,9.4
2022-12-05,9.5
2022-11-05,9.5
2022-10-05,9.5
2022-09-05,9.6
2022-08-05,9.6
2022-07-05,9.6
2022-06-05,9.6
2022-05-05,9.6
2022-04-05,9.6
2022-03-05,9.5
2022-02-05,9.5
2022-01-05,9.5
2022-12-04,9.5
2022-11-04,9.5
2022-10-04,9.5
2022-09-04,9.5
2022-08-04,9.5
2022-07-04,9.5
2022-06-04,9.5
2022-05-04,8.5
2022-04-04,8.4
2022-03-04,8.4
2022-02-04,8.7
2022-01-04,8.7
2022-12-03,8.588326373
2022-11-03,8.429650597
2022-10-03,8.578409137
2022-09-03,8.479236777
2022-08-03,8.538740193
2022-07-03,8.538740193
2022-06-03,8.627995317
2022-05-03,9.322201836
2022-04-03,9.520546556
2022-03-03,9.381705252
2022-02-03,8.796588328
2022-01-03,8.498575387
2022-12-02,8.0495
2022-11-02,8.1
2022-10-02,7.9
2022-09-02,7.88
2022-08-02,7.73
2022-07-02,7.7
2022-06-02,7.5
2022-05-02,7.45
2022-04-02,7.455
2022-03-02,7.31
2022-02-02,7.21
2022-01-02,7.3
2022-12-01,7.6
2022-11-01,7.67
2022-10-01,7.67
2022-09-01,7.8
2022-08-01,8.07
2022-07-01,8.25
2022-06-01,8.05
2022-05-01,8
2022-04-01,7.95
2022-03-01,8.3
2022-02-01,8.32
2022-01-01,8.7
2000-12-01,8.8
2000-11-01,8.9
2000-10-01,8.8
2000-09-01,8.975
2000-08-01,8.8225
2000-07-01,8.39
2000-06-01,8.25
2000-05-01,8.2
2000-04-01,8.1
2000-03-01,7.865
2000-02-01,7.865
2000-01-01,7.863
1999-12-01,7.862998212
1999-11-01,7.864998212
1999-10-01,7.844998217
1999-09-01,7.734998242
1999-08-01,7.709998247
1999-07-01,7.60999827
1999-06-01,7.60999827
1999-05-01,7.664998258
1999-04-01,7.664998258
1999-03-01,8.219998131
1999-02-01,8.164998144
1999-01-01,8.064998167
1998-12-01,8.11
1998-11-01,8.17
1998-10-01,8.22
1998-09-01,8.173
1998-08-01,8.225
1998-07-01,8.275
1998-06-01,8.325
1998-05-01,8.625
1998-04-01,8.585
1998-03-01,8.46
1998-02-01,8.76
1998-01-01,8.765
1997-12-01,8.521193387
1997-11-01,8.413762868
1997-10-01,8.462594922
1997-09-01,8.462594922
1997-08-01,8.457711717
1997-07-01,8.360047609
1997-06-01,8.340514788
1997-05-01,8.348327916
1997-04-01,8.367860738
1997-03-01,8.316098761
1997-02-01,8.211598166
1997-01-01,8.071938492
1996-12-01,8.358
1996-11-01,8.255
1996-10-01,8.255
1996-09-01,8.2
1996-08-01,8.22
1996-07-01,8.295
1996-06-01,8.195
1996-05-01,8.135
1996-04-01,8.088
1996-03-01,8.248
1996-02-01,8.248
1996-01-01,8.1175
1995-12-01,8.11
1995-11-01,8.02
1995-10-01,8.315
1995-09-01,8.315
1995-08-01,8.425
1995-07-01,8.41
1995-06-01,8.1
1995-05-01,8.4
1995-04-01,8.22
1995-03-01,8.11
1995-02-01,8.22
1995-01-01,8.12
1994-12-01,8.272659086
1994-11-01,8.217842693
1994-10-01,8.217842693
1994-09-01,8.153053631
1994-08-01,8.093252859
1994-07-01,8.073319271
1994-06-01,8.063350523
1994-05-01,8.063350523
1994-04-01,8.08328802
1994-03-01,8.068334892
1994-02-01,8.060858333
1994-01-01,8.068334892
1993-12-01,8.005
1993-11-01,7.995
1993-10-01,8.145
1993-09-01,8.27
1993-08-01,8.345
1993-07-01,8.24
1993-06-01,8.15
1993-05-01,8
1993-04-01,8
1993-03-01,8.3
1993-02-01,8.44
1993-01-01,8.5
