Date,High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz)
2022-03-29 0:00,64246.68,60785.17,62387.56,,1998.3,1890.63,1940.47
2022-02-27 0:00,66545.86,60745.62,61864.79,,2069.81,1889.4,1924.21
2022-01-28 0:00,63464.13,57241.27,60745.62,,1973.96,1780.4,1889.4
2021-12-29 0:00,59602.66,57322.69,57782.69,,1853.85,1782.93,1797.24
2021-11-29 0:00,58520.87,56395.46,58087.08,,1820.2,1754.09,1806.71
2021-10-30 0:00,60349.2,56578.24,57725.38,,1877.07,1759.78,1795.46
2021-09-30 0:00,58314.38,55374.36,57338.61,,1813.78,1722.34,1783.43
2021-08-31 0:00,58962.06,55359.57,55585.43,,1833.93,1721.88,1728.9
2021-08-01 0:00,58891.65,54265.64,58209.73,,1831.74,1687.85,1810.52
2021-07-02 0:00,58954.82,57046.68,58329.65,,1833.7,1774.35,1814.25
2021-06-02 0:00,61395.71,56301.74,57090.24,,1909.62,1751.18,1775.7
2021-05-03 0:00,61621.09,56826.93,61052.18,,1916.63,1767.52,1898.94
2021-04-03 0:00,57802.7,55341.88,56879.65,,1797.86,1721.32,1769.15
2021-03-04 0:00,56441.76,53915.03,55785.89,,1755.53,1676.94,1735.14
2021-02-02 0:00,59933.17,54732.63,54995.3,,1864.13,1702.38,1710.55
2021-01-03 0:00,62984.28,58211.82,59720.17,,1959.03,1810.59,1857.5
2020-12-04 0:00,61300.7,58513.23,61034.98,,1906.66,1819.96,1898.4
2020-11-04 0:00,63193.74,56746.87,59153.52,,1965.55,1765.02,1839.88
2020-10-05 0:00,62163.47,59804.57,61548.42,,1933.5,1860.13,1914.37
2020-09-05 0:00,63446.77,59448.02,61186.25,,1973.42,1849.04,1903.11
2020-08-06 0:00,66715.85,59957.61,62167.49,,2075.09,1864.89,1933.63
2020-07-07 0:00,66073.96,57035.26,65477.41,,2055.13,1773.99,2036.58
2020-06-07 0:00,57524.28,53947.83,57418.02,,1789.21,1677.97,1785.9
2020-05-08 0:00,56746.39,53725.51,54184.78,,1765.01,1671.05,1685.34
2020-04-08 0:00,56177.96,52839.59,55114.58,,1747.33,1643.49,1714.26
2020-03-09 0:00,54741.23,46692.69,53004.04,,1702.64,1452.31,1648.61
2020-02-08 0:00,54725.88,50222.52,54661.65,,1702.17,1562.09,1700.17
