Date,High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz)
2022-03-29 0:00,842.94,771.02,802.46,,26.22,23.98,24.96
2022-02-27 0:00,865.84,774.93,801.97,,26.93,24.1,24.94
2022-01-28 0:00,823.43,707.63,780.35,,25.61,22.01,24.27
2021-12-29 0:00,794.03,705.99,731.29,,24.7,21.96,22.75
2021-11-29 0:00,753.7,689.02,739.88,,23.44,21.43,23.01
2021-10-30 0:00,816.77,736.96,749.96,,25.4,22.92,23.33
2021-09-30 0:00,797.97,690.43,768.16,,24.82,21.47,23.89
2021-08-31 0:00,799.56,688.71,693.37,,24.87,21.42,21.57
2021-08-01 0:00,836.06,714.49,772.69,,26,22.22,24.03
2021-07-02 0:00,860.74,787.63,819.46,,26.77,24.5,25.49
2021-06-02 0:00,909.37,821.05,836.11,,28.28,25.54,26.01
2021-05-03 0:00,924.32,829.73,895.42,,28.75,25.81,27.85
2021-04-03 0:00,856.53,791.34,831.68,,26.64,24.61,25.87
2021-03-04 0:00,856.29,764.87,802.08,,26.63,23.79,24.95
2021-02-02 0:00,928.87,830.71,836.13,,28.89,25.84,26.01
2021-01-03 0:00,964.36,778.27,917.1,,29.99,24.21,28.52
2020-12-04 0:00,880.66,756.54,848.44,,27.39,23.53,26.39
2020-11-04 0:00,836.09,704.07,772.84,,26.01,21.9,24.04
2020-10-05 0:00,821.73,726.88,784.46,,25.56,22.61,24.4
2020-09-05 0:00,888.23,696.59,768.52,,27.63,21.67,23.9
2020-08-06 0:00,959.55,754.06,865.56,,29.85,23.45,26.92
2020-07-07 0:00,872.02,578.47,864.65,,27.12,17.99,26.89
2020-06-07 0:00,592.99,545.25,588.68,,18.44,16.96,18.31
2020-05-08 0:00,591.14,489.37,559.87,,18.39,15.22,17.41
2020-04-08 0:00,509.53,467.75,490.51,,15.85,14.55,15.26
2020-03-09 0:00,563.19,374.24,481.39,,17.52,11.64,14.97
2020-02-08 0:00,609.16,527.3,562.58,,18.95,16.4,17.5
2020-01-09 0:00,590.27,559.13,569.11,,18.36,17.39,17.7
2019-12-10 0:00,606.25,533.18,582.86,,18.86,16.58,18.13
2019-11-10 0:00,556.24,531.44,533.82,,17.3,16.53,16.6
2019-10-11 0:00,589.42,537.09,540,,18.33,16.71,16.8
2019-09-11 0:00,602.5,543.37,563.2,,18.74,16.9,17.52
2019-08-12 0:00,631.76,531.97,579.37,,19.65,16.55,18.02
2019-07-13 0:00,554.34,487.72,546.91,,17.24,15.17,17.01
2019-06-13 0:00,500.13,474.04,489.41,,15.56,14.74,15.22
2019-05-14 0:00,487.16,459.81,475.22,,15.15,14.3,14.78
2019-04-14 0:00,485.44,468.39,475.5,,15.1,14.57,14.79
2019-03-15 0:00,502.75,479.19,481.5,,15.64,14.9,14.98
2019-02-13 0:00,530.36,481.76,488.31,,16.5,14.98,15.19
2019-01-14 0:00,520.44,488.24,505.08,,16.19,15.19,15.71
2018-12-15 0:00,510.23,467.76,501.64,,15.87,14.55,15.6
2018-11-15 0:00,476.03,452.01,468.52,,14.81,14.06,14.57
