Crude Oil and Liquid Fuels Supply Total Non-OECD Monthly,
https://www.eia.gov/opendata/qb.php?category=829751&sdid=STEO.PAPR_NONOECD.M,
22:38:20 GMT-0700 (Pacific Daylight Time),
Source: U.S. Energy Information Administration,
Month,Series ID: STEO.PAPR_NONOECD.M million barrels per day
Dec-23,67.46911635
Nov-23,67.66846726
Oct-23,67.86479232
Sep-23,68.19136223
Aug-23,68.06925011
Jul-23,68.15848692
Jun-23,68.16120819
May-23,67.94969274
Apr-23,67.68194611
Mar-23,67.35738877
Feb-23,67.49790751
Jan-23,67.60125882
Dec-22,67.57176897
Nov-22,67.74943879
Oct-22,67.833229
Sep-22,68.07727116
Aug-22,67.99139925
Jul-22,67.95396237
Jun-22,66.91986163
May-22,67.26383821
Apr-22,66.53291683
Mar-22,66.98151617
Feb-22,67.59228681
Jan-22,66.89055639
Dec-21,65.99144447
Nov-21,66.18383494
Oct-21,65.90210974
Sep-21,65.93638783
Aug-21,65.12926489
Jul-21,65.51449306
Jun-21,64.58097937
May-21,63.98486422
Apr-21,63.15943505
Mar-21,62.5931349
Feb-21,62.13922633
Jan-21,62.75039552
Dec-20,61.99931501
Nov-20,62.12962994
Oct-20,61.7024132
Sep-20,61.43515021
Aug-20,61.52508672
Jul-20,59.89560084
Jun-20,59.02314767
May-20,60.44417437
Apr-20,68.95210346
Mar-20,67.26611856
Feb-20,66.93852356
Jan-20,67.94376908
Dec-19,68.25854632
Nov-19,68.7873076
Oct-19,68.94458169
Sep-19,67.55478227
Aug-19,69.3335281
Jul-19,68.74561304
Jun-19,69.2144633
May-19,68.73105313
Apr-19,68.64402625
Mar-19,68.71665065
Feb-19,68.96761753
Jan-19,69.19139238
Dec-18,70.16948182
Nov-18,70.90464478
Oct-18,71.2980415
Sep-18,71.03791659
Aug-18,70.65820517
Jul-18,70.87066801
Jun-18,70.83016319
May-18,70.42109676
Apr-18,70.24459854
Mar-18,69.95087924
Feb-18,69.9054245
Jan-18,70.11756971
Dec-17,69.83704178
Nov-17,70.37429202
Oct-17,70.73073244
Sep-17,71.15272051
Aug-17,70.69479926
Jul-17,71.25550666
Jun-17,71.10533895
May-17,70.35812201
Apr-17,69.62344622
Mar-17,69.27072317
Feb-17,69.59785673
Jan-17,70.1106521
Dec-16,71.19370368
Nov-16,71.70354468
Oct-16,71.29678868
Sep-16,70.92088868
Aug-16,70.17982668
Jul-16,70.80676268
Jun-16,70.80823868
May-16,70.17875668
Apr-16,70.05923268
Mar-16,69.62455168
Feb-16,69.66904368
Jan-16,70.12965268
Dec-15,70.19357811
Nov-15,70.23458751
Oct-15,70.12934003
Sep-15,70.27385655
Aug-15,70.1264595
Jul-15,70.20277473
Jun-15,70.30300547
May-15,69.66408522
Apr-15,69.11478862
Mar-15,68.95232998
Feb-15,67.9707982
Jan-15,68.26493625
Dec-14,68.94160456
Nov-14,68.68174735
Oct-14,69.34981756
Sep-14,68.70655756
Aug-14,68.48986656
Jul-14,67.81775755
Jun-14,67.86100456
May-14,67.41849556
Apr-14,66.69122856
Mar-14,66.65383456
Feb-14,67.48002756
Jan-14,67.17821156
Dec-13,67.04793635
Nov-13,67.19035435
Oct-13,67.47396635
Sep-13,67.29745735
Aug-13,67.95415935
Jul-13,68.07295235
Jun-13,68.02041123
May-13,67.80293435
Apr-13,67.38764635
Mar-13,66.78222335
Feb-13,66.76698635
Jan-13,66.99046535
Dec-12,67.43622745
Nov-12,68.07894821
Oct-12,68.09014621
Sep-12,68.34177421
Aug-12,68.65658221
Jul-12,68.34641421
Jun-12,68.12912921
May-12,68.04111821
Apr-12,68.19605021
Mar-12,67.91618621
