OECD End-of-period Commercial Crude Oil and Other Liquids Inventory Monthly,
https://www.eia.gov/opendata/qb.php?category=829748&sdid=STEO.PASC_OECD_T3.M,
22:53:56 GMT-0700 (Pacific Daylight Time),
Source: U.S. Energy Information Administration,
Month,Series ID: STEO.PASC_OECD_T3.M million barrels end-of-period
Dec-23,2885.093962
Nov-23,2908.779621
Oct-23,2904.030828
Sep-23,2891.877989
Aug-23,2884.169648
Jul-23,2872.191444
Jun-23,2858.155262
May-23,2846.224549
Apr-23,2818.703135
Mar-23,2797.640107
Feb-23,2796.988901
Jan-23,2811.873879
Dec-22,2794.061776
Nov-22,2808.597012
Oct-22,2797.755826
Sep-22,2774.970026
Aug-22,2754.537356
Jul-22,2733.579336
Jun-22,2710.462549
May-22,2690.668311
Apr-22,2651.992647
Mar-22,2614.396823
Feb-22,2601.086851
Jan-22,2633.928414
Dec-21,2632.689572
Nov-21,2727.241815
Oct-21,2748.407141
Sep-21,2744.777099
Aug-21,2805.104512
Jul-21,2835.577974
Jun-21,2863.621502
May-21,2919.063229
Apr-21,2901.716717
Mar-21,2907.989801
Feb-21,2960.411
Jan-21,3027.048
Dec-20,3027.590712
Nov-20,3100.544013
Oct-20,3119.156255
Sep-20,3171.36125
Aug-20,3208.598019
Jul-20,3211.628996
Jun-20,3206.858138
May-20,3206.08847
Apr-20,3119.206342
Mar-20,2971.297009
Feb-20,2875.034679
Jan-20,2900.850186
Dec-19,2875.982621
Nov-19,2884.706734
Oct-19,2876.687743
Sep-19,2927.148778
Aug-19,2963.910616
Jul-19,2938.113613
Jun-19,2917.484499
May-19,2910.291977
Apr-19,2863.897298
Mar-19,2859.21602
Feb-19,2862.661479
Jan-19,2866.286353
Dec-18,2859.460217
Nov-18,2846.699325
Oct-18,2848.073035
Sep-18,2855.016354
Aug-18,2852.292886
Jul-18,2825.073491
Jun-18,2801.542908
May-18,2812.986741
Apr-18,2807.748804
Mar-18,2804.660645
Feb-18,2848.294826
Jan-18,2865.904119
Dec-17,2848.545949
Nov-17,2897.519247
Oct-17,2918.887941
Sep-17,2963.185553
Aug-17,3001.865517
Jul-17,3023.832896
Jun-17,3016.094253
May-17,3052.723628
Apr-17,3050.004544
Mar-17,3032.37544
Feb-17,3062.136195
Jan-17,3069.926298
Dec-16,2994.30574
Nov-16,3040.247242
Oct-16,3061.301872
Sep-16,3072.838913
Aug-16,3101.074173
Jul-16,3116.496527
Jun-16,3064.243004
May-16,3060.832702
Apr-16,3035.188403
Mar-16,3024.664559
Feb-16,3035.194033
Jan-16,3030.696362
Dec-15,2971.886299
Nov-15,2956.86197
Oct-15,2939.813686
Sep-15,2936.114481
Aug-15,2930.120034
Jul-15,2869.133653
Jun-15,2860.586791
May-15,2862.032258
Apr-15,2800.167635
Mar-15,2773.111021
Feb-15,2717.233513
Jan-15,2722.662447
Dec-14,2689.155619
Nov-14,2689.440221
Oct-14,2685.156521
Sep-14,2705.601285
Aug-14,2694.295524
Jul-14,2649.543126
Jun-14,2634.98231
May-14,2643.300914
Apr-14,2578.782863
Mar-14,2564.300188
Feb-14,2557.828467
Jan-14,2553.93031
Dec-13,2544.506709
Nov-13,2588.801775
Oct-13,2632.342831
Sep-13,2669.911991
Aug-13,2646.115106
Jul-13,2647.991873
Jun-13,2633.008865
May-13,2627.036702
Apr-13,2648.831976
Mar-13,2638.227856
Feb-13,2619.99081
Jan-13,2650.010869
Dec-12,2639.698356
Nov-12,2667.04977
Oct-12,2672.784735
Sep-12,2709.462514
Aug-12,2697.921455
Jul-12,2697.873593
Jun-12,2665.625895
May-12,2662.212852
Apr-12,2655.7926
Mar-12,2635.658445
Feb-12,2624.378678
Jan-12,2639.664407
Dec-11,2584.067622
Nov-11,2638.85365
Oct-11,2627.968766
Sep-11,2652.44943
Aug-11,2685.716597
Jul-11,2685.458585
Jun-11,2670.030582
May-11,2679.375299
Apr-11,2660.207001
Mar-11,2632.445624
Feb-11,2652.434502
Jan-11,2724.459761
Dec-10,2664.244
Nov-10,2727.333
Oct-10,2754.127
Sep-10,2736.985
Aug-10,2790.554
Jul-10,2756.505
Jun-10,2748.335
May-10,2744.411
Apr-10,2714.324
Mar-10,2668.572
Feb-10,2687.072
Jan-10,2701.626
Dec-09,2649.98
Nov-09,2732.297
Oct-09,2722.653
Sep-09,2770.985
Aug-09,2766.597
Jul-09,2757.839
